Radius_kpc,Effective_Density_Msun_per_kpc3
0.1,219716867.96704152
0.5,25342220.64495646
1.0,24053215.019549813
1.5,14941774.936930602
2.0,12405908.208160115
3.0,11592827.30728559
4.0,9371502.621078447
5.0,7845048.590991631
6.0,7362956.375428859
7.0,5691209.682490655
8.0,3768288.8362057935
9.0,3568007.774030086
10.0,3179650.0008535655
11.0,2580559.800825955
12.0,1998909.5409141905
13.0,1669273.4155806827
14.0,2116220.3598930845
15.0,2109857.5649797935
16.0,1466899.1948220644
17.0,1114053.7518104506
18.0,1022318.744729299
19.0,943523.6209138985
20.0,863325.3944709186
