ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm,ID_R,Vbaryonic,rho_baryonic,V_MOND,V_TeVeS,V_pinning_dm,V_pinning_total,V_observed_total,Pinning_residual,MOND_residual,TeVeS_residual,Baryonic_residual
,15.2,0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,15.40028895832802,7.499711041671977,D512-2_0.96,15.40028895832802,1e-05,1947.3676848505008,546.2637424916027,0.015400289919185383,15.400296658471534,22.9,7.499703341528464,-1924.4676848505007,-523.3637424916027,7.499711041671979
,15.2,1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,22.09926695616848,11.400733043831522,D512-2_1.92,22.09926695616848,1e-05,2756.541601354857,783.79514362153,0.022099268334989583,22.099278005800574,33.5,11.400721994199426,-2723.041601354857,-750.29514362153,11.400733043831519
,15.2,2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,21.86815264259878,15.331847357401225,D512-2_2.88,21.86815264259878,1e-05,3338.177961103931,776.6698719892299,0.021868154007000158,21.86816357667373,37.2,15.331836423326273,-3300.977961103931,-739.4698719892299,15.331847357401223
,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,21.64842950423887,14.251570495761127,D512-2_3.83,21.64842950423887,1e-05,3827.781407029404,769.406479212635,0.021648430854931247,21.648440328452267,35.9,14.251559671547732,-3791.881407029404,-733.506479212635,14.251570495761129
,8.79,0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,7.245032781154272,1.294967218845727,D564-8_0.51,7.245032781154272,1e-05,1393.241723463664,257.57721813248173,0.00724503323318755,7.245036403670209,8.54,1.29496359632979,-1384.701723463664,-249.03721813248174,1.294967218845727
,8.79,1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,10.168800322555262,4.931199677444738,D564-8_1.02,10.168800322555262,1e-05,1969.9412427785758,361.53288467753623,0.010168800957008724,10.168805406954787,15.1,4.931194593045213,-1954.8412427785759,-346.4328846775362,4.931199677444738
,8.79,1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,11.082585438425458,8.717414561574543,D564-8_1.53,11.082585438425458,1e-05,2405.9758311338046,394.1576875855153,0.011082586129891952,11.082590979717484,19.8,8.717409020282517,-2386.1758311338044,-374.3576875855153,8.717414561574543
,8.79,2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,11.118547567016115,10.78145243298388,D564-8_2.04,11.118547567016115,1e-05,2770.947509427055,395.5659505703364,0.011118548260726365,11.118553126289202,21.9,10.781446873710797,-2749.047509427055,-373.6659505703364,10.781452432983883
,8.79,2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,10.791264986089445,13.208735013910555,D564-8_2.56,10.791264986089445,1e-05,3097.8449606137488,384.01927934306167,0.010791265659379826,10.791270381721262,24.0,13.208729618278738,-3073.8449606137488,-360.01927934306167,13.208735013910555
,8.79,3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,10.39635032114636,14.60364967885364,D564-8_3.07,10.39635032114636,1e-05,3387.758565777673,370.0298302429251,0.01039635096979716,10.396355519320869,25.0,14.603644480679131,-3362.758565777673,-345.0298302429251,14.60364967885364
,7.72,0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,13.052206709978202,0.0,D631-7_0.45,13.052206709978202,1e-05,1355.2859845803764,462.06358927218844,0.013052207524333632,13.05221323608074,8.41,-4.642213236080741,-1346.8759845803763,-453.6535892721884,-4.642206709978202
,7.72,0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,20.57645499108143,0.0,D631-7_0.9,20.57645499108143,1e-05,1938.110032996063,727.4736122993254,0.020576456274890995,20.576465279307637,17.8,-2.7764652793076365,-1920.310032996063,-709.6736122993254,-2.7764549910814296
,7.72,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,26.643340631384795,0.0,D631-7_1.35,26.643340631384795,1e-05,2389.390633613516,941.2410060900373,0.02664334229372049,26.643353953053442,26.0,-0.6433539530534418,-2363.390633613516,-915.2410060900373,-0.6433406313847954
,7.72,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,28.40977472631559,2.490225273684409,D631-7_1.8,28.40977472631559,1e-05,2733.656031764055,1004.7305218217655,0.02840977649886293,28.409788931201174,30.9,2.490211068798825,-2702.756031764055,-973.8305218217655,2.490225273684409
,7.72,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,28.156995578363823,6.54300442163618,D631-7_2.25,28.156995578363823,1e-05,3020.764207944738,997.1741440579666,0.028156997335139725,28.15700965685985,34.7,6.542990343140154,-2986.064207944738,-962.4741440579666,6.54300442163618
,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,27.86951201582116,10.93048798417884,D631-7_2.69,27.86951201582116,1e-05,3276.937243829976,987.9309872222749,0.027869513754660343,27.869525950575426,38.8,10.930474049424571,-3238.137243829976,-949.1309872222749,10.930487984178836
,7.72,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,27.03890715247197,15.461092847528027,D631-7_3.14,27.03890715247197,1e-05,3515.5583482570732,959.3077477296774,0.027038908839487917,27.038920671923854,42.5,15.461079328076146,-3473.0583482570732,-916.8077477296774,15.461092847528029
,7.72,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,26.28905665861748,19.31094334138253,D631-7_3.59,26.28905665861748,1e-05,3739.7329450109137,933.2915025748521,0.02628905829884863,26.289069803144162,45.6,19.31093019685584,-3694.1329450109138,-887.691502574852,19.310943341382522
,7.72,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,25.52609057415569,23.27390942584431,D631-7_4.04,25.52609057415569,1e-05,3951.2667968640135,906.654175653152,0.025526092166783733,25.526103337199377,48.8,23.27389666280062,-3902.4667968640133,-857.8541756531521,23.27390942584431
,7.72,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,24.61645994045448,27.18354005954552,D631-7_4.49,24.61645994045448,1e-05,4151.305589811475,874.7148107949392,0.0246164614763287,24.616472248682907,51.8,27.18352775131709,-4099.505589811475,-822.9148107949393,27.183540059545518
,7.72,4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,23.785779364990336,31.01422063500966,D631-7_4.94,23.785779364990336,1e-05,4342.760792399232,845.4777393596778,0.023785780849036597,23.78579125787853,54.8,31.01420874212147,-4287.960792399232,-790.6777393596778,31.01422063500966
,7.72,5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,22.91259915417716,33.68740084582284,D631-7_5.39,22.91259915417716,1e-05,4526.06177598141,814.6681994100005,0.022912600583743815,22.9126106104753,56.6,33.6873893895247,-4469.46177598141,-758.0681994100005,33.68740084582284
,7.72,5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,22.092193191261025,36.307806808738974,D631-7_5.84,22.092193191261025,1e-05,4702.632560598371,785.6770984750973,0.022092194569640778,22.09220423735624,58.4,36.307795762643764,-4644.2325605983715,-727.2770984750973,36.307806808738974
,7.72,6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,21.303694515271285,37.19630548472871,D631-7_6.29,21.303694515271285,1e-05,4873.086845111628,757.7784998355808,0.0213036958444549,21.303705167117208,58.5,37.19629483288279,-4814.586845111628,-699.2784998355808,37.19630548472871
,7.72,6.74,57.7,4.07,17.06,11.48,0.0,0.0,0.0,20.562927807099843,37.13707219290016,D631-7_6.74,20.562927807099843,1e-05,5038.095076514535,731.5437902597392,0.02056292909006542,20.562938088562458,57.7,37.13706191143754,-4980.3950765145355,-673.8437902597392,37.13707219290016
,7.72,7.19,57.3,3.94,16.47,11.08,0.0,0.0,0.0,19.850120906432785,37.44987909356721,D631-7_7.19,19.850120906432785,1e-05,5198.07996283243,706.278599408583,0.019850122144924796,19.850130831491995,57.3,37.449869168508,-5140.77996283243,-648.978599408583,37.44987909356721
,4.04,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,12.865601423952167,0.9343985760478332,DDO154_0.49,12.865601423952167,1e-05,1407.1573117459184,455.7306612625847,0.012865602226664889,12.865607856752074,13.8,0.9343921432479263,-1393.3573117459184,-441.9306612625847,0.9343985760478333
,4.04,0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,16.350966332299752,5.24903366770025,DDO154_0.99,16.350966332299752,1e-05,1983.3108934304778,579.7808894730946,0.016350967352471935,16.350974507781896,21.6,5.249025492218106,-1961.7108934304779,-558.1808894730946,5.24903366770025
,4.04,1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,16.907377088123397,11.992622911876602,DDO154_1.48,16.907377088123397,1e-05,2401.3736485603404,600.2251512459648,0.01690737814301125,16.907385541810882,28.9,11.992614458189117,-2372.4736485603403,-571.3251512459648,11.992622911876602
,4.04,1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,17.623677255328978,16.67632274467102,DDO154_1.97,17.623677255328978,1e-05,2757.87925769059,626.0067419128335,0.01762367835490835,17.623686067166503,34.3,16.676313932833494,-2723.5792576905897,-591.7067419128335,16.67632274467102
,4.04,2.47,38.2,0.4,14.77,10.18,0.0,0.08,0.0,17.938375065763342,20.26162493423666,DDO154_2.47,17.938375065763342,1e-05,3077.1235431811965,637.4657393258049,0.01793837618497739,17.938384034949753,38.2,20.26161596505025,-3038.9235431811967,-599.2657393258048,20.26162493423666
