ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm
D512-2,15.2,0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,15.400288958328021,7.499711041671977
D512-2,15.2,1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,22.099266956168478,11.400733043831522
D512-2,15.2,2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,21.86815264259878,15.331847357401223
D512-2,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,21.64842950423887,14.251570495761129
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,7.245032781154272,1.294967218845727
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,10.168800322555262,4.931199677444738
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,11.082585438425458,8.717414561574543
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,11.118547567016117,10.781452432983881
D564-8,8.79,2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,10.791264986089443,13.208735013910557
D564-8,8.79,3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,10.39635032114636,14.60364967885364
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,13.052206709978202,0.0
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,20.57645499108143,0.0
D631-7,7.72,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,26.643340631384795,0.0
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,28.40977472631559,2.490225273684409
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,28.156995578363823,6.54300442163618
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,27.869512015821158,10.93048798417884
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,27.03890715247197,15.461092847528029
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,26.289056658617476,19.310943341382526
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,25.52609057415569,23.27390942584431
D631-7,7.72,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,24.616459940454476,27.18354005954552
